Name;RAJ2000;DEJ2000
UM 211                  ;00 12 10.90;-01 22 07.6				
UM 234                  ;00 23 03.20;+01 15 33.9				
SDSS J014350.13+141453.0;01 43 50.00;+14 14 54.9				
PKS 0157+011            ;02 00 03.90;+01 25 12.6				
RX J024252.3-232633     ;02 42 51.90;-23 26 34.0				
US 3204                 ;02 49 28.90;+01 09 25.0				
CT 638                  ;03 18 06.50;-34 26 37.4				
RXS J04117+1324         ;04 11 46.90;+13 24 16.5				
HS 0423+0658            ;04 26 30.20;+07 05 30.3				
2MASS J04352649-1643460 ;04 35 26.50;-16 43 45.7				
SDSS J072908.71+400836.6;07 29 08.60;+40 08 37.0				
SDSS J080237.60+340446.3;08 02 37.60;+34 04 46.6				
SDSS J080648.65+184037.0;08 06 48.60;+18 40 37.3				
SDSS J080809.56+311519.1;08 08 09.50;+31 15 18.9				
SDSS J081133.43+065558.1;08 11 33.40;+06 55 58.3				
SDSS J081617.73+293639.6;08 16 17.80;+29 36 40.7				
FBQS J081740.1+232731   ;08 17 40.20;+23 27 32.0				
SDSS J082121.88+250817.5;08 21 22.00;+25 08 16.2				
SDSS J082716.85+490534.0;08 27 16.90;+49 05 34.9				
SDSS J082827.84+400333.9;08 28 27.80;+40 03 34.1				
SDSS J082926.01+180020.7;08 29 26.00;+18 00 20.7				
SDSS J083349.55+232809.0;08 33 49.60;+23 28 09.2				
SDSS J084146.19+503601.1;08 41 46.30;+50 36 00.5				
BZQJ0842+4525           ;08 42 15.30;+45 25 45.0				
SDSS J091554.50+352949.6;09 15 54.50;+35 29 49.9				
SBS 0920+590            ;09 23 58.70;+58 49 06.3				
SDSS J092911.35+203708.5;09 29 11.30;+20 37 09.2				
HS 0926+3608            ;09 29 52.10;+35 54 49.6				
SDSS J093819.25+361858.7;09 38 19.30;+36 18 58.9				
SDSS J094450.76+151236.9;09 44 50.70;+15 12 37.5				
SDSS J094715.56+631716.4;09 47 15.60;+63 17 17.3				
HS 0946+4845            ;09 50 00.70;+48 31 29.9				
KUV 09484+3557          ;09 51 23.90;+35 42 49.2				
SDSS J102255.21+172155.7;10 22 55.20;+17 21 56.0				
SDSS J102349.38+522151.2;10 23 49.50;+52 21 51.8				
RXS J10304+5516         ;10 30 25.00;+55 16 23.4				
SDSS J103111.52+491926.5;10 31 11.50;+49 19 27.2				
SDSS J104430.25+051857.2;10 44 30.30;+05 18 56.8				
SDSS J104758.34+284555.8;10 47 58.30;+28 45 56.2			
SDSS J104941.01+085548.4;10 49 41.00;+08 55 48.5				
MS 10548-0335           ;10 57 22.30;-03 51 31.3				
CSO 67                  ;11 03 27.50;+29 48 11.2
SDSS J110554.78+322953.7;11 05 54.80;+32 29 54.1
SDSS J113050.21+261211.4;11 30 50.20;+26 12 11.8
SDSS J113916.47+254412.6;11 39 16.40;+25 44 13.0				
SDSS J114438.34+262609.4;11 44 38.30;+26 26 10.1				
SDSS J114749.70+163106.7;11 47 49.70;+16 31 06.8				
SDSS J114857.33+160023.1;11 48 57.40;+16 00 22.7				
SDSS J115141.81+142156.6;11 51 41.80;+14 21 57.0				
SDSS J115346.39+241829.4;11 53 46.40;+24 18 29.8				
SDSS J121018.34+015405.9;12 10 18.30;+01 54 06.2				
SDSS J121018.66+185726.0;12 10 18.70;+18 57 27.0				
SDSS J121056.83+231912.5;12 10 56.80;+23 19 13.0				
SDSS J121457.39+132024.3;12 14 57.40;+13 20 24.5				
SDSS J123147.27+101705.3;12 31 47.30;+10 17 05.4				
SDSS J123821.84+030024.2;12 38 21.80;+03 00 24.6				
SDSS J124044.49+231045.8;12 40 44.50;+23 10 46.1				
SDSS J124119.04+203452.7;12 41 19.00;+20 34 53.4				
SDSS J124157.90+130104.1;12 41 57.90;+13 01 04.7				
PGC 3096192             ;12 50 29.00;+06 36 11.1				
SDSS J125414.23+131348.1;12 54 14.20;+13 13 48.4				
SDSS J130040.62+172758.4;13 00 40.60;+17 27 58.5				
BZQJ1305-1033           ;13 05 33.00;-10 33 19.1				
SNU J13120+0641         ;13 12 04.70;+06 41 07.6				
SDSS J131706.19+271416.7;13 17 06.20;+27 14 16.7				
SDSS J131909.08+090814.7;13 19 09.10;+09 08 15.1				
SDSS J132103.41+123748.2;13 21 03.40;+12 37 48.1				
SDSS J133127.31+182416.9;13 31 27.30;+18 24 17.1				
SDSS J133516.17+183341.4;13 35 16.10;+18 33 41.8				
SDSS J133631.45+175613.8;13 36 31.40;+17 56 14.1				
SDSS J133654.44+171040.3;13 36 54.40;+17 10 40.8				
SDSS J133807.69+360220.3;13 38 07.70;+36 02 20.3				
SDSS J134820.42+194831.5;13 48 20.40;+19 48 31.9				
SDSS J134855.27-032141.4;13 48 55.30;-03 21 41.4				
SDSS J135225.80+132853.2;13 52 25.80;+13 28 53.3				
SDSS J140600.26+013252.2;14 06 00.30;+01 32 52.4				
SDSS J140704.43+273556.6;14 07 04.50;+27 35 56.3				
HE 1408-1003            ;14 10 40.30;-10 17 29.7				
SDSS J141425.92+171811.2;14 14 25.90;+17 18 11.6				
3C 298.0                ;14 19 08.20;+06 28 35.1				
SDSS J142301.96+101500.1;14 23 02.00;+10 15 00.0				
SDSS J143621.29+072720.8;14 36 21.30;+07 27 21.1				
SDSS J143820.60+055447.9;14 38 20.60;+05 54 48.1				
SDSS J144754.62+132610.0;14 47 54.60;+13 26 10.4				
SDSS J144755.57+100040.0;14 47 55.60;+10 00 40.4				
SDSS J150450.16+012215.5;15 04 50.20;+01 22 15.8				
QNZ3 54                 ;15 18 06.60;+01 31 34.9				
SDSS J152035.23+095925.2;15 20 35.20;+09 59 25.7				
SDSS J152157.02+181018.6;15 21 57.00;+18 10 19.2				
SDSS J153636.22+044127.0;15 36 36.20;+04 41 26.9				
