Name,URL
FBQS J0012-1022,http://nunuku.caltech.edu/DataRelease/upload/result_web_fileKgG6vU.csv
LBQS 0022+0015,http://nunuku.caltech.edu/DataRelease/upload/result_web_filefsVTrC.csv
SDSS J015530.01-085704.0,http://nunuku.caltech.edu/DataRelease/upload/result_web_filendObPV.csv
SDSS J020011.52-093126.1,http://nunuku.caltech.edu/DataRelease/upload/result_web_file3dNmne.csv
FBQS J0212-0030,http://nunuku.caltech.edu/DataRelease/upload/result_web_fileIUKarh.csv
2MASX J02201453-0728593,http://nunuku.caltech.edu/DataRelease/upload/result_web_fileGDmJ7I.csv
SDSS J031715.87+425150.6,NaN
SDSS J074007.28+410903.6,http://nunuku.caltech.edu/DataRelease/upload/result_web_files6CTam.csv
SDSS J074157.25+275519.7,http://nunuku.caltech.edu/DataRelease/upload/result_web_fileKw6zqm.csv
SDSS J075403.60+481428.0,http://nunuku.caltech.edu/DataRelease/upload/result_web_filet3SmOb.csv
SDSS J080327.39+400047.8,http://nunuku.caltech.edu/DataRelease/upload/result_web_fileeVQVIR.csv
SDSS J081329.28+483427.7,http://nunuku.caltech.edu/DataRelease/upload/result_web_fileomYkP7.csv
SDSS J082150.13+081907.3,http://nunuku.caltech.edu/DataRelease/upload/result_web_filerUmUdi.csv
SDSS J082930.59+272822.7,http://nunuku.caltech.edu/DataRelease/upload/result_web_filed6G8Wh.csv
SDSS J083223.35+555850.4,NaN
SBS 0839+541,NaN
SDSS J085431.28-003650.6,http://nunuku.caltech.edu/DataRelease/upload/result_web_fileuplkae.csv
FBQS J091833.8+315620,http://nunuku.caltech.edu/DataRelease/upload/result_web_filevgq93x.csv
SDSS J091928.69+143202.6,http://nunuku.caltech.edu/DataRelease/upload/result_web_file9lx79p.csv
SDSS J0927+2943,http://nunuku.caltech.edu/DataRelease/upload/result_web_filenFBa9j.csv
SDSS J093100.76+021120.8,http://nunuku.caltech.edu/DataRelease/upload/result_web_fileR87qHO.csv
SDSS J093653.84+533126.8,http://nunuku.caltech.edu/DataRelease/upload/result_web_fileD6snTo.csv
2MASS J09384445+0057156,http://nunuku.caltech.edu/DataRelease/upload/result_web_filerygLOH.csv
SDSS J094603.94+013923.6,http://nunuku.caltech.edu/DataRelease/upload/result_web_fileuPkqTr.csv
SDSS J094620.32+375953.2,http://nunuku.caltech.edu/DataRelease/upload/result_web_filecJ14Wu.csv
2MASX J09503673+5128382,http://nunuku.caltech.edu/DataRelease/upload/result_web_fileuHZbUp.csv
[HB89] 0952+457,http://nunuku.caltech.edu/DataRelease/upload/result_web_filesYbL6S.csv
SDSS J101438.27+031211.0,http://nunuku.caltech.edu/DataRelease/upload/result_web_file1yaqv9.csv
B3 1018+456,http://nunuku.caltech.edu/DataRelease/upload/result_web_fileUS4jBu.csv
SDSS J102839.11+450009.4,http://nunuku.caltech.edu/DataRelease/upload/result_web_fileJdptEJ.csv
SDSS J104132.77-005057.4,http://nunuku.caltech.edu/DataRelease/upload/result_web_fileWI6Tsc.csv
SDSS J1050+3456,http://nunuku.caltech.edu/DataRelease/upload/result_web_filez801HZ.csv
FBQS J105203.1+240505,http://nunuku.caltech.edu/DataRelease/upload/result_web_file5ZTIEs.csv
SDSS J110050.99+170934.2,http://nunuku.caltech.edu/DataRelease/upload/result_web_filei5PgiU.csv
2MASX J11055618+0312424,http://nunuku.caltech.edu/DataRelease/upload/result_web_fileIKX2fF.csv
SDSS J110742.76+042134.1,http://nunuku.caltech.edu/DataRelease/upload/result_web_file8cnsA1.csv
SDSS J111329.68+531338.7,http://nunuku.caltech.edu/DataRelease/upload/result_web_file3OrGky.csv
SDSS J111537.93+542725.2,http://nunuku.caltech.edu/DataRelease/upload/result_web_filevQqG3F.csv
SDSS J111916.12+110107.1,http://nunuku.caltech.edu/DataRelease/upload/result_web_fileS7LVkY.csv
SDSS J112751.94+675042.8,NaN
[HB89] 1130+111,http://nunuku.caltech.edu/DataRelease/upload/result_web_fileALFjpI.csv
2MASX J11365162+4450159,http://nunuku.caltech.edu/DataRelease/upload/result_web_fileIIrEjM.csv
SDSS J113706.92+481943.6,http://nunuku.caltech.edu/DataRelease/upload/result_web_fileYNezNK.csv
SDSS J113904.33+465651.0,http://nunuku.caltech.edu/DataRelease/upload/result_web_fileHA9aaf.csv
SDSS J115158.90+122128.9,http://nunuku.caltech.edu/DataRelease/upload/result_web_fileCVKais.csv
SDSS J115449.42+013443.4,http://nunuku.caltech.edu/DataRelease/upload/result_web_filecmMx2Y.csv
2MASX J11564409+6147410,http://nunuku.caltech.edu/DataRelease/upload/result_web_fileQ8jt7y.csv
LBQS 1206+1052,http://nunuku.caltech.edu/DataRelease/upload/result_web_filezPpCMl.csv
SDSS J121113.97+464711.9,http://nunuku.caltech.edu/DataRelease/upload/result_web_filecp3Ale.csv
SDSS J122811.89+514622.7,http://nunuku.caltech.edu/DataRelease/upload/result_web_filehSwn9S.csv
SDSS J123001.02+335901.3,http://nunuku.caltech.edu/DataRelease/upload/result_web_file0Ro62P.csv
SDSS J124551.02+032128.4,http://nunuku.caltech.edu/DataRelease/upload/result_web_fileckmzcM.csv
FBQS J125142.2+240435,http://nunuku.caltech.edu/DataRelease/upload/result_web_file4Yu5nO.csv
[HB89] 1255+356,http://nunuku.caltech.edu/DataRelease/upload/result_web_file0ZTzKK.csv
VIII Zw 233,http://nunuku.caltech.edu/DataRelease/upload/result_web_filexpXRYu.csv
SDSS J131945.95+053002.7,http://nunuku.caltech.edu/DataRelease/upload/result_web_filecdqApl.csv
2MASX J13270413+4435050,http://nunuku.caltech.edu/DataRelease/upload/result_web_file4eJ7bz.csv
SDSS J133432.34+171146.9,http://nunuku.caltech.edu/DataRelease/upload/result_web_fileOxa0RT.csv
WISE J134617.54+622045.3,http://nunuku.caltech.edu/DataRelease/upload/result_web_fileFwhqBY.csv
2MASX J14000734+4053576,http://nunuku.caltech.edu/DataRelease/upload/result_web_filegfAd90.csv
2MASX J14025121+2631175,http://nunuku.caltech.edu/DataRelease/upload/result_web_file4AneD1.csv
MRK 0668,http://nunuku.caltech.edu/DataRelease/upload/result_web_fileQXb0VI.csv
SDSS J141213.61+021202.1,http://nunuku.caltech.edu/DataRelease/upload/result_web_filei9IZdO.csv
SDSS J141300.53+401624.5,http://nunuku.caltech.edu/DataRelease/upload/result_web_fileH2LPsp.csv
2MASX J14312349+3925013,http://nunuku.caltech.edu/DataRelease/upload/result_web_fileLht8iQ.csv
2MASX J14345529+5723454,NaN
SDSS J151132.53+100953.1,http://nunuku.caltech.edu/DataRelease/upload/result_web_file9TeVGp.csv
[HB89] 1512+370,http://nunuku.caltech.edu/DataRelease/upload/result_web_filezwSkNP.csv
SDSS J152316.30-004150.4,http://nunuku.caltech.edu/DataRelease/upload/result_web_fileWmyeU8.csv
2MASX J15293925+2039069,http://nunuku.caltech.edu/DataRelease/upload/result_web_filenXji5H.csv
2MASSi J1529421+350851,http://nunuku.caltech.edu/DataRelease/upload/result_web_fileTO773e.csv
SDSS J153434.46+514941.0,http://nunuku.caltech.edu/DataRelease/upload/result_web_fileBTMMfI.csv
SDSS J1536+0441,http://nunuku.caltech.edu/DataRelease/upload/result_web_fileeyphfP.csv
2MASS J15364492+1412294,http://nunuku.caltech.edu/DataRelease/upload/result_web_fileBW1b19.csv
SDSS J154340.74+112801.3,http://nunuku.caltech.edu/DataRelease/upload/result_web_fileBCtovH.csv
SDSS J154637.12+122832.5,http://nunuku.caltech.edu/DataRelease/upload/result_web_filewq6GIk.csv
